epoch,train_loss,val_loss,val_acc,val_macro_f1
45,0.044753,1.856647,0.632424,0.629773
46,0.042708,1.628257,0.648674,0.648915
47,0.042780,1.876430,0.630557,0.628753
48,0.042094,1.935419,0.608517,0.607822
49,0.040223,1.800679,0.639522,0.637595
50,0.039629,1.621494,0.648300,0.647719
51,0.038401,1.794604,0.630557,0.627999
52,0.039830,1.875814,0.622712,0.620679
53,0.037019,2.330045,0.589839,0.579443
54,0.037380,1.862905,0.617669,0.613892
55,0.035897,1.963120,0.614494,0.610144
56,0.036497,2.036457,0.607957,0.607671
57,0.034508,2.028628,0.621031,0.618827
58,0.034422,1.911295,0.634666,0.632810
59,0.034225,2.459067,0.580874,0.568361
60,0.033968,2.148247,0.591147,0.588526
61,0.036533,2.096166,0.598058,0.594471
62,0.036053,2.882134,0.554165,0.544526
63,0.033144,2.407552,0.605342,0.597322
64,0.032470,1.982154,0.624019,0.624043
65,0.032686,2.332579,0.596377,0.591798
66,0.031164,2.216836,0.614307,0.607328
67,0.033797,2.159750,0.603848,0.600487
68,0.032252,2.642286,0.605529,0.598827
69,0.030523,2.150842,0.600486,0.591470
70,0.032605,2.355159,0.617295,0.611314
71,0.031210,2.348700,0.616735,0.610017
72,0.031890,1.962567,0.636160,0.633585
73,0.028970,2.219575,0.619163,0.615242
74,0.032137,1.970296,0.626448,0.625894
75,0.032387,1.913029,0.634292,0.634553
76,0.028674,1.920188,0.630370,0.630612
77,0.030739,2.474408,0.585170,0.574001
78,0.030455,1.978036,0.623272,0.624156
79,0.028903,2.038351,0.638962,0.634760
80,0.029887,1.751556,0.654838,0.654015
81,0.029846,2.334719,0.632238,0.625926
82,0.028995,2.024262,0.633545,0.632808
83,0.030176,1.904717,0.636907,0.636137
84,0.028401,2.172088,0.596937,0.594357
85,0.028865,1.846026,0.648861,0.647626
86,0.028196,2.673443,0.587411,0.575992
87,0.027739,2.050809,0.627568,0.624380
88,0.028383,2.177468,0.617669,0.612171
89,0.026651,2.171274,0.623272,0.622231
90,0.027756,2.250281,0.596563,0.593699
91,0.028232,2.456782,0.596563,0.589799
92,0.028695,2.434698,0.586477,0.580868
93,0.028002,1.867106,0.650728,0.650149
94,0.028406,2.305356,0.614681,0.607171
95,0.027889,1.954230,0.639522,0.640716
96,0.028326,2.137994,0.623646,0.619913
97,0.026891,2.137091,0.633919,0.627407
98,0.027856,2.147515,0.624206,0.620792
99,0.027551,1.744412,0.646806,0.647239
100,0.027092,2.034820,0.631677,0.629195
1,0.888913,0.797390,0.685062,0.634834
2,0.571885,0.588044,0.785918,0.749719
3,0.446982,0.644191,0.770536,0.728020
4,0.379960,0.663199,0.759277,0.725167
5,0.326746,0.719896,0.769267,0.732998
6,0.284114,0.680550,0.793847,0.758237
7,0.256254,0.950600,0.761973,0.718376
8,0.229807,0.610927,0.802093,0.769422
9,0.213248,0.800151,0.786870,0.748950
10,0.194981,0.859738,0.789724,0.754564
11,0.186071,0.765916,0.764034,0.725032
12,0.171909,0.870845,0.767206,0.730946
13,0.160249,1.143792,0.731367,0.683967
14,0.156313,0.704838,0.804313,0.772551
1,0.736766,0.772005,0.728830,0.695159
2,0.379070,1.047434,0.724548,0.690070
3,0.268454,0.840449,0.787980,0.751607
4,0.203875,1.240997,0.741357,0.700704
1,1.231870,0.982446,0.579607,0.523976
2,0.784838,0.919368,0.639391,0.557904
3,0.642050,0.701058,0.740406,0.691410
4,0.552842,1.068161,0.669680,0.609668
5,0.478378,0.804993,0.760546,0.720351
6,0.425724,0.924479,0.705043,0.668772
7,0.378589,1.014514,0.718205,0.668332
8,0.337334,0.780778,0.773073,0.738892
9,0.302014,0.850682,0.749921,0.712522
10,0.276392,0.906871,0.737710,0.696499
11,0.249574,1.283526,0.719791,0.675469
12,0.229749,1.205942,0.747542,0.699492
13,0.209540,0.981025,0.747859,0.713727
14,0.198567,1.043551,0.750555,0.709280
15,0.181748,1.380908,0.691564,0.646111
16,0.171750,1.591095,0.717095,0.654641
17,0.156407,1.339618,0.723755,0.681563
18,0.149282,0.978571,0.761180,0.725049
19,0.139476,1.318886,0.755471,0.710269
20,0.131038,1.486073,0.732160,0.685172
21,0.121927,1.131238,0.766572,0.725480
22,0.115242,1.273300,0.747701,0.707918
23,0.109480,1.111936,0.779575,0.745866
24,0.104113,1.218746,0.754678,0.722372
25,0.098770,1.302055,0.741833,0.702839
26,0.092563,1.357954,0.754361,0.714441
27,0.086996,1.596683,0.753885,0.708215
28,0.083521,1.420791,0.738662,0.692630
29,0.080843,1.275441,0.767682,0.724096
30,0.077719,1.282774,0.749128,0.709042
31,0.072706,1.351772,0.761021,0.723743
32,0.071628,1.305511,0.779734,0.743366
33,0.071899,1.535308,0.749128,0.705088
34,0.064414,1.700001,0.747225,0.701026
35,0.063837,1.312317,0.743895,0.716956
36,0.062542,1.263906,0.762607,0.729613
37,0.058549,1.721827,0.733428,0.688629
38,0.057124,1.626398,0.760387,0.713890
39,0.056086,1.606631,0.718681,0.679464
40,0.051277,1.538435,0.739296,0.704383
41,0.039783,1.639940,0.733746,0.688423
42,0.036516,1.746839,0.732953,0.695230
43,0.035099,1.319414,0.778624,0.741145
44,0.035762,1.576734,0.764193,0.721941
45,0.036475,1.694892,0.739772,0.696432
46,0.036367,1.539433,0.771646,0.725545
47,0.035752,1.233458,0.786077,0.749031
48,0.034365,1.491261,0.768950,0.730296
49,0.034623,1.499467,0.758801,0.719130
50,0.033256,1.507817,0.761814,0.721901
51,0.033162,1.747094,0.756740,0.714852
52,0.033241,1.374306,0.788455,0.746391
53,0.033493,1.424306,0.752775,0.715397
54,0.033531,1.977181,0.730574,0.683584
55,0.032169,1.654989,0.762924,0.716296
56,0.031704,1.767543,0.730574,0.689106
57,0.033123,1.703831,0.751665,0.710915
58,0.032200,2.205589,0.736917,0.683668
59,0.031659,1.578608,0.750396,0.711427
60,0.030013,1.706366,0.746749,0.700319
61,0.030611,1.589758,0.767523,0.724477
62,0.032100,1.866094,0.730891,0.689095
63,0.029488,2.161478,0.723914,0.668829
64,0.030477,1.961459,0.751507,0.697780
65,0.029731,1.546733,0.754995,0.714032
66,0.030611,1.632745,0.746273,0.705054
67,0.029185,1.575236,0.756264,0.716755
68,0.030252,1.719633,0.767682,0.724584
69,0.030781,1.808486,0.746749,0.697134
70,0.030900,1.413867,0.769267,0.731947
71,0.029611,1.604561,0.738503,0.701887
72,0.031068,1.598303,0.748652,0.706749
73,0.029020,1.563759,0.774025,0.735332
74,0.029731,1.656393,0.740406,0.699395
75,0.029144,1.627672,0.771329,0.731747
76,0.030571,1.679651,0.730257,0.686230
77,0.029012,1.585036,0.777513,0.735905
78,0.029250,1.676747,0.758008,0.716527
79,0.028889,1.875479,0.745639,0.699767
80,0.028533,1.686400,0.740723,0.696427
81,0.028351,1.709649,0.759277,0.716425
82,0.027836,1.720701,0.743419,0.700101
83,0.026177,1.576049,0.768316,0.728541
84,0.027187,1.749179,0.753885,0.712129
85,0.027885,1.601983,0.773866,0.733586
86,0.027689,1.674512,0.761497,0.719383
87,0.027188,1.987378,0.749445,0.703743
88,0.027283,1.783044,0.737710,0.693745
89,0.026701,1.619064,0.770219,0.727555
90,0.028350,1.665029,0.756422,0.719014
91,0.028946,1.494533,0.763559,0.728323
92,0.028008,1.900287,0.737869,0.691944
93,0.026553,2.049158,0.732477,0.689016
94,0.028609,1.550932,0.768792,0.727504
95,0.027594,1.597323,0.772122,0.733127
96,0.027689,1.703355,0.748811,0.708497
97,0.025333,2.126713,0.708690,0.668110
98,0.028219,1.640499,0.753092,0.712227
99,0.027966,1.689935,0.748493,0.707862
100,0.028156,1.773606,0.739613,0.702364
1,1.170281,1.833356,0.368221,0.295462
2,0.764530,1.256232,0.585950,0.500449
3,0.627879,0.892608,0.696162,0.642558
4,0.534550,0.942925,0.683793,0.633888
5,0.465303,0.972353,0.708056,0.664731
6,0.409163,0.936313,0.710276,0.675239
7,0.358271,0.858027,0.733111,0.695627
8,0.325797,1.066238,0.705677,0.645894
9,0.287650,0.881088,0.762766,0.721771
10,0.261752,1.426537,0.680939,0.632482
11,0.242167,1.484654,0.688233,0.638566
12,0.222717,0.999552,0.765144,0.726687
13,0.210134,1.044445,0.756898,0.720306
14,0.191857,1.081594,0.760228,0.721557
15,0.177880,1.113814,0.756105,0.721479
16,0.168163,1.317006,0.756898,0.718829
17,0.156618,1.362145,0.733428,0.693244
18,0.148158,1.213932,0.759277,0.721169
19,0.137677,1.160288,0.764510,0.724843
20,0.132561,1.228722,0.759911,0.725139
21,0.123639,1.326192,0.774500,0.733661
22,0.120459,1.353361,0.735331,0.703014
23,0.113689,1.746706,0.743419,0.687834
24,0.106895,1.476661,0.723438,0.686194
25,0.098401,1.258069,0.786711,0.751058
26,0.096959,1.427498,0.744529,0.704918
27,0.091899,1.523431,0.742467,0.707743
28,0.088555,1.652334,0.736441,0.689537
29,0.083115,1.480377,0.753727,0.716830
30,0.077761,1.509394,0.739137,0.699563
31,0.078174,1.212719,0.779258,0.744661
32,0.074455,1.868214,0.749286,0.706029
33,0.071939,1.895008,0.768792,0.718844
34,0.069596,1.917501,0.756740,0.711970
35,0.066740,1.496151,0.782429,0.746142
36,0.062094,1.739684,0.747859,0.710406
37,0.061641,1.697540,0.771963,0.732582
38,0.058274,1.583730,0.747542,0.710279
39,0.058096,1.706284,0.752141,0.710439
40,0.054371,1.903153,0.747701,0.709279
41,0.042407,1.866839,0.766889,0.730246
42,0.038996,1.626690,0.751031,0.716214
43,0.037399,1.588485,0.779575,0.742203
44,0.037464,1.716145,0.749604,0.709218
45,0.038194,1.669726,0.770536,0.731229
46,0.035746,1.674138,0.755947,0.716671
47,0.035725,1.470218,0.783222,0.746042
48,0.035214,1.622990,0.759435,0.719383
49,0.035545,2.195187,0.733111,0.687859
50,0.037341,1.758715,0.760863,0.719630
51,0.034634,1.890814,0.764827,0.720765
